_id,url,time,fixtime,language,repositoryname,repositoryurl,star,commitnum,tag,day_of_fix
196,https://github.com/redis/redis/pull/8056,2020/11/16,2020/11/16,c,redis,,,,temporary memory leak,0
197,https://github.com/redis/redis/pull/7976,2020/10/28,2020/10/28,c,redis,,,,early return,0
198,https://github.com/redis/redis/pull/7623,2020/8/7,2020/8/8,c,redis,,,,temporary memory leak,1
199,https://github.com/redis/redis/pull/7421,2020/6/22,2020/6/22,c,redis,,,,temporary memory leak,0
200,https://github.com/redis/redis/pull/7062,2020/4/6,2020/7/29,c,redis,,,,early return,114
201,https://github.com/redis/redis/pull/7005,2020/3/18,2020/3/23,c,redis,,,,temporary memory leak,5
202,https://github.com/redis/redis/pull/6864,2020/2/6,2020/2/20,c,redis,,,,temporary memory leak,14
203,https://github.com/redis/redis/pull/6844,2020/2/6,2020/2/6,c,redis,,,,pointer overwrite,0
204,https://github.com/redis/redis/pull/6825,2020/2/4,2020/2/4,c,redis,,,,temporary memory leak,0
205,https://github.com/redis/redis/pull/6783,2020/1/17,2020/2/27,c,redis,,,,early return,41
206,https://github.com/redis/redis/pull/6739,2020/1/6,2020/1/13,c,redis,,,,early return,7
207,https://github.com/redis/redis/pull/6082,2019/5/7,2019/5/7,c,redis,,,,early return,0
208,https://github.com/redis/redis/pull/6002,2019/4/9,2019/4/26,c,redis,,,,early return,17
209,https://github.com/redis/redis/pull/5709,2018/12/19,2018/12/20,c,redis,,,,temporary memory leak,1
210,https://github.com/redis/redis/pull/5579,2018/11/16,2018/11/20,c,redis,,,,temporary memory leak,4
211,https://github.com/redis/redis/pull/5191,2018/7/31,2018/7/31,c,redis,,,,pointer overwrite,0
212,https://github.com/redis/redis/pull/5133,2018/7/17,2018/7/25,c,redis,,,,unclosed file/connection,8
213,https://github.com/redis/redis/pull/4932,2018/5/21,2018/5/24,c,redis,,,,temporary memory leak,3
214,https://github.com/redis/redis/pull/4779,2018/3/21,2018/3/22,c,redis,,,,temporary memory leak,1
215,https://github.com/redis/redis/pull/3826,2017/2/22,2018/3/22,c,redis,,,,unclosed file/connection,393
216,https://github.com/redis/redis/pull/2551,2015/4/28,2015/5/4,c,redis,,,,temporary memory leak,6
217,https://github.com/redis/redis/pull/146,2011/10/18,2011/10/18,c,redis,,,,temporary memory leak,0
218,https://github.com/protocolbuffers/protobuf/pull/9150,2021/10/26,2021/10/27,c,protobuf,,,,exception,1
219,https://github.com/protocolbuffers/protobuf/pull/8461,2021/3/22,2021/4/8,c,protobuf,,,,temporary memory leak,17
220,https://github.com/ocornut/imgui/pull/2698,2019/7/28,2019/7/30,cpp,imgui,,,,temporary memory leak,2
221,https://github.com/ocornut/imgui/pull/1529,2018/1/2,2018/1/3,cpp,imgui,,,,temporary memory leak,1
222,https://github.com/microsoft/cpprestsdk/pull/495,2017/7/8,2017/8/26,cpp,cpprestsdk,,,,data member leak,49
223,https://github.com/microsoft/cpprestsdk/pull/218,2016/8/4,2016/10/21,cpp,cpprestsdk,,,,early return,78
224,https://github.com/zeromq/libzmq/pull/4013,2020/8/17,2020/8/17,cpp,libzmq,,,,pointer overwrite,0
225,https://github.com/zeromq/libzmq/pull/3935,2020/5/25,2020/5/26,cpp,libzmq,,,,data member leak,1
226,https://github.com/zeromq/libzmq/pull/3566,2019/7/9,2019/7/9,cpp,libzmq,,,,early return,0
227,https://github.com/zeromq/libzmq/pull/1492,2015/7/29,2015/7/29,cpp,libzmq,,,,unclosed file/connection,0
228,https://github.com/zeromq/libzmq/pull/1482,2015/7/23,2015/7/23,cpp,libzmq,,,,temporary memory leak,0
229,https://github.com/zeromq/libzmq/pull/1481,2015/7/22,2015/7/22,cpp,libzmq,,,,unclosed file/connection,0
230,https://github.com/zeromq/libzmq/pull/1314,2015/1/20,2015/1/20,cpp,libzmq,,,,unclosed file/connection,0
231,https://github.com/zeromq/libzmq/pull/1101,2014/6/23,2014/6/23,cpp,libzmq,,,,temporary memory leak,0
232,https://github.com/zeromq/libzmq/pull/574,2013/6/15,2013/6/15,cpp,libzmq,,,,parameter object leak,0
233,https://github.com/zeromq/libzmq/pull/567,2013/5/30,2013/5/30,cpp,libzmq,,,,temporary memory leak,0
234,https://github.com/zeromq/libzmq/pull/323,2012/4/25,2012/4/25,cpp,libzmq,,,,unclosed file/connection,0
235,https://github.com/libretro/RetroArch/pull/16568,2024/5/20,2024/5/21,c,RetroArch,,,,temporary memory leak,1
238,https://github.com/libretro/RetroArch/pull/11524,2020/11/7,2020/11/7,c,RetroArch,,,,incorrect placed,0
239,https://github.com/nlohmann/json/pull/3901,2022/12/28,2023/3/8,cpp,json,,,,exception,70
240,https://github.com/nlohmann/json/pull/2872,2021/7/12,2021/7/16,cpp,json,,,,temporary memory leak,4
241,https://github.com/nlohmann/json/pull/2025,2020/3/4,2020/4/10,cpp,json,,,,incorrect placed,37
242,https://github.com/nlohmann/json/pull/1001,2018/3/9,2018/3/10,cpp,json,,,,temporary memory leak,1
243,https://github.com/php/php-src/pull/14641,2024/4/25,2024/6/24,c,php-src,,,,exception,60
244,https://github.com/php/php-src/pull/11980,2023/8/15,2023/8/24,c,php-src,,,,data member leak,9
245,https://github.com/php/php-src/pull/10146,2022/12/22,2023/1/9,c,php-src,,,,temporary memory leak,18
246,https://github.com/php/php-src/pull/9982,2022/11/21,2022/11/22,c,Arduino,,,,incorrect placed,1
247,https://github.com/php/php-src/pull/9091,2022/7/22,2022/7/24,c,php-src,,,,incorrect placed,2
